1AG.AX,11.70M,0.085
1ST.AX,4.84M,0.054
4DS.AX,17.14M,0.026
8CO.AX,9.18M,0.17
AAJ.AX,2.08M,0.009
AAK.AX,836910.06,0.002
AAL.AX,1.75M,0.007
AAP.AX,6.26M,0.036
AAR.AX,3.07M,0.017
AAU.AX,4.00M,0.022
AB1.AX,37.69M,0.225
ABL.AX,5.57M,0.014
ABU.AX,19.89M,0.058
ABV.AX,17.83M,0.01
ABX.AX,19.10M,0.135
ACB.AX,7.71M,0.016
ACG.AX,30.46M,0.155
ACK.AX,46.43M,0.45
ACL.AX,3.57M,0.011
ACS.AX,9.87M,0.08
ACU.AX,6.11M,0.034
ADD.AX,273300.00,0.012
ADN.AX,5.97M,0.017
ADO.AX,36.20M,0.047
ADV.AX,26.12M,0.043
ADX.AX,5.25M,0.008
ADY.AX,12.18M,0.012
AEB.AX,15.58M,0.046
AEE.AX,6.57M,0.016
AER.AX,6.03M,0.11
AFR.AX,33.62M,0.055
AFT.AX,8.51M,0.001
AGE.AX,4.25M,0.012
AGJ.AX,3.90M,0.04
AGO.AX,48.05M,0.018
AGR.AX,42.19M,0.115
AGS.AX,15.02M,0.036
AGX.AX,1.89M,0.012
AGY.AX,11.13M,0.026
AHF.AX,34.35M,0.22
AHK.AX,5.25M,0.13
AHN.AX,4.52M,0.026
AHQ.AX,851704.94,0.005
AIB.AX,5.88M,0.83
AIQ.AX,14.38M,0.11
AIR.AX,2.49M,0.08
AIS.AX,4.62M,0.04
AIV.AX,7.11M,0.011
AIY.AX,1.81M,0.013
AJC.AX,2.71M,0.003
AJJ.AX,29.78M,0.10
AJQ.AX,25.40M,0.079
AJR.AX,1.83M,0.023
AKF.AX,4.62M,0.07
AKG.AX,13.94M,0.19
AKK.AX,2.62M,0.007
AKM.AX,5.57M,0.006
ALA.AX,4.95M,0.115
ALT.AX,7.78M,0.006
ALY.AX,2.75M,0.012
AMB.AX,13.79M,0.21
AML.AX,22.13M,0.065
AMN.AX,13.08M,0.15
AMO.AX,3.84M,0.125
AMT.AX,8.27M,0.13
ANB.AX,2.11M,0.01
ANG.AX,19.31M,0.125
ANO.AX,15.23M,0.026
ANP.AX,10.06M,0.057
ANQ.AX,2.67M,0.001
ANW.AX,10.34M,0.008
AOA.AX,2.39M,0.01
AOD.AX,20.46M,0.735
AOK.AX,27.98M,0.05
AON.AX,2.16M,0.03
AOP.AX,9.67M,0.09
AOU.AX,12.00M,0.14
AOW.AX,25.01M,0.17
APG.AX,4.09M,0.003
APY.AX,17.39M,0.015
AQD.AX,6.48M,0.013
AQI.AX,7.49M,0.13
AQJ.AX,765718.06,0.001
AQQ.AX,12.85M,0.028
AQS.AX,12.03M,0.065
AQX.AX,9.45M,0.049
AR1.AX,3.51M,0.016
ARC.AX,4.55M,0.51
ARD.AX,8.95M,0.035
ARE.AX,8.88M,0.02
ARM.AX,5.72M,0.049
ARO.AX,772555.00,0.007
ARS.AX,6.15M,0.13
ARU.AX,22.06M,0.05
ARV.AX,3.66M,0.001
ARX.AX,1.19M,0.001
ASH.AX,31.50M,0.21
ASN.AX,3.44M,0.03
ASP.AX,6.52M,0.009
ASW.AX,26.08M,0.61
ASY.AX,720104.00,0.022
ATA.AX,3.14M,0.032
ATC.AX,16.57M,0.11
ATP.AX,12.44M,0.03
ATR.AX,24.50M,0.20
AUC.AX,16.20M,0.059
AUK.AX,4.11M,0.013
AUP.AX,12.42M,5.64
AUQ.AX,15.18M,0.03
AUZ.AX,13.35M,0.013
AVD.AX,2.00M,0.028
AVI.AX,4.66M,0.014
AVL.AX,6.85M,0.009
AVQ.AX,41.02M,0.155
AVX.AX,1.03M,0.021
AVZ.AX,5.85M,0.012
AWI.AX,33.27M,0.30
AWV.AX,35.74M,0.11
AWY.AX,8.81M,0.002
AXE.AX,8.90M,0.105
AXI.AX,20.67M,0.05
AXT.AX,13.31M,0.078
AXZ.AX,31.75M,0.30
AYA.AX,15.65M,0.18
AYB.AX,7.20M,0.026
AYC.AX,11.46M,0.025
AYG.AX,2.56M,0.001
AYI.AX,10.81M,0.001
AYM.AX,2.18M,0.003
AYR.AX,8.30M,0.014
AZM.AX,26.65M,0.061
AZV.AX,12.90M,0.068
AZY.AX,14.84M,0.026
BAR.AX,25.01M,0.067
BAS.AX,1.61M,0.002
BAU.AX,24.41M,0.105
BBL.AX,34.80M,0.355
BBX.AX,4.80M,0.023
BCI.AX,31.39M,0.16
BCN.AX,5.98M,0.004
BCT.AX,3.61M,0.02
BDI.AX,2.54M,0.001
BEL.AX,9.76M,0.13
BGC.AX,6.65M,0.063
BGD.AX,3.95M,0.038
BGR.AX,741978.00,0.002
BGS.AX,35.74M,0.385
BIG.AX,9.91M,0.14
BIS.AX,18.96M,0.43
BIT.AX,20.31M,0.065
BKM.AX,1.50M,0.001
BKP.AX,2.23M,0.001
BKT.AX,14.15M,0.053
BLT.AX,16.12M,0.11
BLZ.AX,3.35M,0.054
BMG.AX,703142.00,0.011
BMH.AX,24.85M,0.20
BML.AX,1.30M,0.002
BMN.AX,23.16M,0.033
BMP.AX,2.99M,0.39
BNE.AX,1.04M,0.008
BNR.AX,10.62M,0.061
BOA.AX,6.56M,0.145
BOE.AX,38.46M,0.045
BOL.AX,32.29M,0.068
BPH.AX,1.65M,0.007
BPL.AX,11.18M,0.09
BPS.AX,49.15M,0.84
BRB.AX,12.41M,0.15
BRC.AX,20.18M,0.135
BRD.AX,4.68M,0.003
BRK.AX,3.60M,0.009
BRL.AX,13.50M,0.014
BSE.AX,33.83M,0.06
BSM.AX,4.60M,0.01
BSN.AX,1.97M,0.005
BSP.AX,1.59M,0.003
BSR.AX,33.35M,0.021
BST.AX,14.44M,0.89
BTC.AX,16.27M,0.165
BUD.AX,761535.00,0.135
BUG.AX,16.48M,0.38
BUL.AX,26.24M,0.023
BUR.AX,4.40M,0.02
BUX.AX,6.19M,0.07
BUY.AX,8.58M,0.009
BWF.AX,32.76M,0.65
BXN.AX,4.91M,0.025
BYE.AX,27.97M,0.145
BYL.AX,16.50M,0.13
BYR.AX,20.13M,0.026
CAA.AX,49.84M,0.105
CAD.AX,3.86M,0.002
CAE.AX,1.95M,0.021
CAP.AX,7.03M,0.061
CAS.AX,20.43M,0.12
CAV.AX,5.14M,0.02
CAY.AX,13.40M,0.087
CAZ.AX,10.44M,0.08
CBC.AX,22.12M,0.91
CBQ.AX,987357.06,0.001
CBS.AX,1.06M,0.034
CCJ.AX,1.13M,0.006
CCZ.AX,3.38M,0.016
CDB.AX,1.06M,0.009
CDG.AX,13.82M,0.05
CDH.AX,1.56M,0.012
CDT.AX,1.57M,0.012
CDV.AX,39.79M,0.23
CDY.AX,19.50M,0.021
CEL.AX,12.32M,0.035
CFE.AX,15.67M,0.025
CGM.AX,1.33M,0.002
CGN.AX,15.58M,0.069
CGO.AX,12.54M,0.34
CGR.AX,17.85M,0.19
CHF.AX,1.33M,0.013
CHK.AX,2.50M,0.022
CHN.AX,47.78M,0.165
CHP.AX,4.29M,0.003
CHR.AX,23.98M,3.15
CHZ.AX,3.94M,0.033
CIA.AX,49.58M,0.25
CIK.AX,15.07M,0.19
CIW.AX,31.95M,0.65
CIZ.AX,4.98M,0.02
CJC.AX,956662.00,0.007
CKA.AX,13.48M,0.027
CL8.AX,6.56M,0.018
CLT.AX,9.65M,0.18
CLY.AX,512508.03,0.002
CLZ.AX,1.23M,0.004
CM8.AX,30.12M,0.195
CMC.AX,3.16M,0.016
CMI.AX,34.66M,1.00
CMM.AX,19.74M,0.115
CMT.AX,3.00M,0.039
CMY.AX,6.10M,0.008
CND.AX,18.81M,0.21
CNJ.AX,4.26M,0.028
CNQ.AX,11.44M,0.031
CNX.AX,16.37M,0.011
COI.AX,33.68M,0.064
COM.AX,13.62M,0.019
COO.AX,24.06M,0.094
COY.AX,2.70M,0.007
CPD.AX,4.44M,0.055
CQC.AX,4.21M,0.008
CR8.AX,1.97M,0.038
CRB.AX,25.20M,0.18
CRL.AX,2.26M,0.026
CRQ.AX,2.17M,0.022
CSE.AX,40.92M,0.385
CSS.AX,40.90M,0.037
CTE.AX,8.93M,0.19
CTM.AX,3.16M,0.006
CTO.AX,27.86M,0.016
CTP.AX,40.72M,0.094
CTR.AX,3.38M,0.059
CUE.AX,43.28M,0.062
CUL.AX,6.65M,0.004
CUX.AX,1.96M,0.005
CVE.AX,6.97M,0.007
CVS.AX,3.28M,0.011
CVV.AX,3.59M,0.08
CXM.AX,20.17M,0.064
CXO.AX,6.99M,0.04
CXU.AX,19.52M,0.072
CXX.AX,40.48M,0.30
CXZ.AX,15.72M,0.18
CYC.AX,38.43M,0.645
CYG.AX,40.86M,1.08
CYL.AX,31.13M,0.59
CYP.AX,26.55M,0.365
CYU.AX,4.73M,0.008
CYY.AX,10.43M,0.038
CZI.AX,8.62M,0.039
CZL.AX,10.47M,0.044
CZN.AX,3.53M,0.008
CZR.AX,17.52M,0.01
D13.AX,45.71M,0.11
DAU.AX,3.83M,0.04
DCC.AX,28.50M,0.16
DDD.AX,1.66M,0.006
DDT.AX,15.97M,0.021
DEG.AX,8.58M,0.003
DGH.AX,25.97M,0.71
DGO.AX,1.07M,0.185
DGR.AX,15.42M,0.028
DGX.AX,4.79M,0.01
DHR.AX,2.99M,0.005
DIG.AX,24.94M,0.26
DKM.AX,19.39M,0.235
DKO.AX,14.86M,0.17
DLC.AX,3.80M,0.006
DLE.AX,619278.00,0.003
DM1.AX,17.03M,0.064
DMA.AX,22.41M,0.058
DMG.AX,5.80M,0.022
DMI.AX,2.13M,0.07
DRA.AX,22.21M,0.25
DRG.AX,2.67M,0.025
DRK.AX,1.36M,0.002
DRX.AX,8.10M,0.01
DSB.AX,5.24M,0.11
DSX.AX,11.01M,0.06
DTI.AX,30.70M,0.335
DTM.AX,3.12M,0.012
DTR.AX,1.01M,0.01
DTX.AX,13.08M,0.45
DUB.AX,46.50M,0.60
DVA.AX,36.48M,0.615
