"RPG.AX",44.32M,0.29
"RRL.AX",1.59B,3.19
"RRP.AX",2.36M,0.001
"RRR.AX",12.08M,0.20
"RRS.AX",68.31M,0.009
"RSG.AX",615.92M,0.96
"RSH.AX",9.01M,0.032
"RTG.AX",73.84M,0.55
"RTR.AX",3.31M,0.016
"RTT.AX",N/A,N/A
"RUB.AX",8.10M,0.045
"RUL.AX",56.77M,0.32
"RUM.AX",15.81M,0.041
"RVA.AX",467.90M,1.10
"RVR.AX",30.43M,0.14
"RVY.AX",16.24M,0.031
"RWC.AX",N/A,2.86
"RWD.AX",54.79M,0.45
"RWH.AX",104.32M,1.045
"RXH.AX",18.39M,0.14
"RXL.AX",15.35M,0.013
"RXM.AX",13.23M,0.06
"RXP.AX",76.65M,0.55
"RYD.AX",36.83B,1.00
"S2R.AX",61.50M,0.285
"S32.AX",9.00B,1.69
"SAB.AX",N/A,N/A
"SAC.AX",N/A,N/A
"SAI.AX",750.14M,3.55
"SAJ.AX",N/A,N/A
"SAM.AX",1.12M,0.10
"SAN.AX",N/A,0.007
"SAO.AX",104.23B,0.475
"SAR.AX",955.32M,1.205
"SAU.AX",10.59M,0.29
"SAY.AX",1.37M,0.003
"SBB.AX",11.32M,0.024
"SBI.AX",715165.00,0.011
"SBK.AX",N/A,N/A
"SBM.AX",1.29B,2.60
"SBR.AX",1.76M,0.007
"SBU.AX",12.56M,0.018
"SCA.AX",N/A,N/A
"SCG.AX",24.60B,4.62
"SCI.AX",7.68M,0.066
"SCP.AX",1.67B,2.30
"SCU.AX",8.75M,0.024
"SCW.AX",N/A,N/A
"SDA.AX",524.35M,4.34
"SDC.AX",N/A,N/A
"SDF.AX",1.40B,1.88
"SDG.AX",256.04M,1.55
"SDI.AX",63.00M,0.53
"SDL.AX",18.72M,0.003
"SEA.AX",92.00M,0.165
"SEG.AX",8.00M,0.003
"SEH.AX",194.93M,0.094
"SEK.AX",5.62B,16.34
"SEN.AX",113.26M,0.105
"SEQ.AX",N/A,0.002
"SER.AX",6.62M,0.019
"SES.AX",16.15M,0.13
"SFC.AX",70.17M,5.01
"SFG.AX",70.00M,0.079
"SFH.AX",123.03M,0.64
"SFI.AX",55.79M,0.068
"SFL.AX",21.95M,0.175
"SFN.AX",2.42M,0.15
"SFR.AX",903.54M,5.61
"SFX.AX",61.75M,0.42
"SFY.AX",N/A,50.4500
"SGC.AX",3.48M,0.032
"SGF.AX",969.40M,3.85
